plan_code,train_status,service,am_peak,am_peak_message,pm_peak,pm_peak_message,off_peak,off_peak_message
GE24A,amended,Greater Anglia,1,Greater Anglia G/E Service--<Operates Bury St Edmunds - Peterborough>,1,Greater Anglia G/E Service--<Operates Bury St Edmunds - Peterborough>,1,Greater Anglia G/E Service--<Operates Bury St Edmunds - Peterborough>
GE24A,amended,Greater Anglia,2,Greater Anglia G/E Services--<Operates Liverpool Street - Ipswich>,2,Greater Anglia G/E Services--<Operates Liverpool Street - Ipswich>,2,Greater Anglia G/E Services--<Operates Liverpool Street - Ipswich>
GE25,amended,Greater Anglia,1,Greater Anglia Cambridge - Ipswich Service--<Operates Cambridge - Bury St Edmunds>,1,Greater Anglia Cambridge - Ipswich Service--<Operates Cambridge - Bury St Edmunds>,1,Greater Anglia Cambridge - Ipswich Service--<Operates Cambridge - Bury St Edmunds>
GE25,amended,Greater Anglia,1,Greater Anglia G/E Service--<Operates Bury St Edmunds - Peterborough>,1,Greater Anglia G/E Service--<Operates Bury St Edmunds - Peterborough>,1,Greater Anglia G/E Service--<Operates Bury St Edmunds - Peterborough>
GE25,amended,Greater Anglia,2,Greater Anglia G/E Services--<Operates Liverpool Street - Ipswich>,2,Greater Anglia G/E Services--<Operates Liverpool Street - Ipswich>,2,Greater Anglia G/E Services--<Operates Liverpool Street - Ipswich>
GE26,amended,Greater Anglia,2,Greater Anglia G/E Services--<Operates Liverpool Street - Diss>,2,Greater Anglia G/E Services--<Operates Liverpool Street - Diss>,2,Greater Anglia G/E Services--<Operates Liverpool Street - Diss>
GE22,cancelled,Greater Anglia,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>
GE23,cancelled,Greater Anglia,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>
GE24,cancelled,Greater Anglia,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>
GE24A,cancelled,Greater Anglia,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>
GE25,cancelled,Greater Anglia,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>
GE26,cancelled,Greater Anglia,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>,All,Greater Anglia--<All other services affected by this problem will be subject to cancellation and short notice alterations>
